ncm;anexo;tipo;dispositivo;trecho
30043927;I;isencao;"RICMS/SE — Anexo I, pág. 63 do PDF de anexos";"Nasal – (por frasco 2,5 ml) 3003.39.29/ 3004.39.29 3 Acetato de Fludrocortisona 2937.22.90 Fludrocortisona 0,1 mg – por comprimido 3003.39.99/ 3004.39.99 4 Acetato de Glatiramer 2922.49.90 Acetato de Glatiramer - 20 mg – por frasco/ampola para injeção subcutânea + diluente + seringa/agulha 3003.90.4"
30039089;I;isencao;"RICMS/SE — Anexo I, pág. 63 do PDF de anexos";"Nasal – (por frasco 2,5 ml) 3003.39.29/ 3004.39.29 3 Acetato de Fludrocortisona 2937.22.90 Fludrocortisona 0,1 mg – por comprimido 3003.39.99/ 3004.39.99 4 Acetato de Glatiramer 2922.49.90 Acetato de Glatiramer - 20 mg – por frasco/ampola para injeção subcutânea + diluente + seringa/agulha 3003.90.4"
29396990;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
30043925;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
29362929;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
30039019;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
30045090;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
29419099;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
29333932;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
29223120;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
29214990;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
29339039;I;isencao;"RICMS/SE — Anexo I, pág. 64 do PDF de anexos";"Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, com inalador Budesonida 200 mcg - cápsula - pó inalante - 60 cápsulas, sem inalador 15 Cabergolina 2939.69.90 Cabergolina 0,5 mg - (por comprimido) 3003.90.99/ 3004.90.99 16 Calcitonina Sintética de Salmão 2937.90.90 Calcitonina Sintética de "
29371990;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
29280090;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30039058;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30049048;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
29342090;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30039023;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30049013;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
29269099;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30039059;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30049049;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30012090;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
29242962;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30039053;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30049043;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
29391122;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30034040;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
30044040;I;isencao;"RICMS/SE — Anexo I, pág. 65 do PDF de anexos";"Clozapina 25 mg – (por comprimido) 30 Danazol 2937.19.90 Danazol 100 mg – (por cápsula) 3003.39.39/ 3004.39.39 31 Deferoxamina 2928.00.90 Deferoxamina 500 mg – injetável – (por frasco) 3003.90.58/ 3004.90.48 32 Dicloridrato de Pramipexol 2934.20.90 Pramipexol 1 mg - por comprimido Pramipexol 0,125 m"
29372990;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
29349969;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
28211030;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
30029099;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
30039029;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
30049019;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
30021023;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
30021035;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
30021029;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
30021036;I;isencao;"RICMS/SE — Anexo I, pág. 66 do PDF de anexos";"cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, com inalador Fumarato de Formoterol 12 mcg - cápsula - com 30 cápsulas pó inalante, sem inalador Fumarato de Formoterol 12 mcg - cápsula - com 60 cápsulas pó inalante, sem inalador 41 Fumarato d"
29339969;I;isencao;"RICMS/SE — Anexo I, pág. 69 do PDF de anexos";"67 Olanzapina 2933.99.69 Olanzapina 5 mg – (por comprimido) 3003.90.79/ 3004.90.69 Olanzapina 10 mg – (por comprimido) 68 Penicilamina 2930.90.19 Penicilamina 250 mg - por cápsula 3003.90.69/ 3004.90.59 69 Pravastatina Sódica 2918.19.90 Pravastatina 40 mg - por comprimido Pravastatina 10 mg - por co"
29309019;I;isencao;"RICMS/SE — Anexo I, pág. 69 do PDF de anexos";"67 Olanzapina 2933.99.69 Olanzapina 5 mg – (por comprimido) 3003.90.79/ 3004.90.69 Olanzapina 10 mg – (por comprimido) 68 Penicilamina 2930.90.19 Penicilamina 250 mg - por cápsula 3003.90.69/ 3004.90.59 69 Pravastatina Sódica 2918.19.90 Pravastatina 40 mg - por comprimido Pravastatina 10 mg - por co"
30039039;I;isencao;"RICMS/SE — Anexo I, pág. 69 do PDF de anexos";"67 Olanzapina 2933.99.69 Olanzapina 5 mg – (por comprimido) 3003.90.79/ 3004.90.69 Olanzapina 10 mg – (por comprimido) 68 Penicilamina 2930.90.19 Penicilamina 250 mg - por cápsula 3003.90.69/ 3004.90.59 69 Pravastatina Sódica 2918.19.90 Pravastatina 40 mg - por comprimido Pravastatina 10 mg - por co"
30049029;I;isencao;"RICMS/SE — Anexo I, pág. 69 do PDF de anexos";"67 Olanzapina 2933.99.69 Olanzapina 5 mg – (por comprimido) 3003.90.79/ 3004.90.69 Olanzapina 10 mg – (por comprimido) 68 Penicilamina 2930.90.19 Penicilamina 250 mg - por cápsula 3003.90.69/ 3004.90.59 69 Pravastatina Sódica 2918.19.90 Pravastatina 40 mg - por comprimido Pravastatina 10 mg - por co"
30021019;I;isencao;"RICMS/SE — Anexo I, pág. 71 do PDF de anexos";"99 Soro Anti - Lactrodectus 3002.10.19 Soro Anti - Lactrodectus 3002.10.19 100 Soro Anti - Lonômia 3002.10.19 Soro Anti - Lonômia 3002.10.19 101 Soro Anti - Loxoscélico 3002.10.19 Soro Anti - Loxoscélico 3002.10.19 102 Soro Anti - Rábico 3002.10.19 Soro Anti - Rábico 3002.10.19 103 Soro Anti - Tetân"
30021012;I;isencao;"RICMS/SE — Anexo I, pág. 71 do PDF de anexos";"99 Soro Anti - Lactrodectus 3002.10.19 Soro Anti - Lactrodectus 3002.10.19 100 Soro Anti - Lonômia 3002.10.19 Soro Anti - Lonômia 3002.10.19 101 Soro Anti - Loxoscélico 3002.10.19 Soro Anti - Loxoscélico 3002.10.19 102 Soro Anti - Rábico 3002.10.19 Soro Anti - Rábico 3002.10.19 103 Soro Anti - Tetân"
30022029;I;isencao;"RICMS/SE — Anexo I, pág. 71 do PDF de anexos";"99 Soro Anti - Lactrodectus 3002.10.19 Soro Anti - Lactrodectus 3002.10.19 100 Soro Anti - Lonômia 3002.10.19 Soro Anti - Lonômia 3002.10.19 101 Soro Anti - Loxoscélico 3002.10.19 Soro Anti - Loxoscélico 3002.10.19 102 Soro Anti - Rábico 3002.10.19 Soro Anti - Rábico 3002.10.19 103 Soro Anti - Tetân"
30022023;I;isencao;"RICMS/SE — Anexo I, pág. 71 do PDF de anexos";"99 Soro Anti - Lactrodectus 3002.10.19 Soro Anti - Lactrodectus 3002.10.19 100 Soro Anti - Lonômia 3002.10.19 Soro Anti - Lonômia 3002.10.19 101 Soro Anti - Loxoscélico 3002.10.19 Soro Anti - Loxoscélico 3002.10.19 102 Soro Anti - Rábico 3002.10.19 Soro Anti - Rábico 3002.10.19 103 Soro Anti - Tetân"
30022022;I;isencao;"RICMS/SE — Anexo I, pág. 71 do PDF de anexos";"99 Soro Anti - Lactrodectus 3002.10.19 Soro Anti - Lactrodectus 3002.10.19 100 Soro Anti - Lonômia 3002.10.19 Soro Anti - Lonômia 3002.10.19 101 Soro Anti - Loxoscélico 3002.10.19 Soro Anti - Loxoscélico 3002.10.19 102 Soro Anti - Rábico 3002.10.19 Soro Anti - Rábico 3002.10.19 103 Soro Anti - Tetân"
